n_nodes,avg_compute_time,med_compute_time,avg_result_time,med_result_time,avg_packet_loss,avg_packet_size
1,0.207058,0.196519,1.50697,1.34843,0,1109
2,0.247035,0.254509,1.47222,1.41849,0,1108.43
3,0.257954,0.264095,1.5439,1.47011,0,1109.32
4,0.262746,0.264683,1.5357,1.46177,0.777,1109.01
