n_nodes,avg_compute_time,med_compute_time,avg_result_time,med_result_time
1,0.375192,0.356623,3.89115,3.78386
2,0.422227,0.411936,3.93931,3.82565
3,0.460193,0.443974,3.9682,3.86809
4,0.48847,0.473302,3.99255,3.88816
