n_nodes,avg_compute_time,med_compute_time,avg_result_time,med_result_time,avg_packet_loss,avg_packet_size
1,0.198709,0.196768,1.39093,1.30513,0,1108.89
2,0.209752,0.211965,1.38035,1.31748,0,1108.7
3,0.201871,0.196966,1.40312,1.3253,0,1108.62
4,0.214561,0.2099,1.49018,1.39475,0.781,1108.75
