n_nodes,avg_compute_time,med_compute_time,avg_result_time,med_result_time,avg_packet_loss,avg_packet_size
1,0.179228,0.162831,1.25719,1.16954,0,1108.85
2,0.333063,0.322338,1.14244,1.08934,0,1181.35
3,0.421584,0.333292,1.40301,1.24066,0,1254.44
4,0.349661,0.331322,1.37655,1.32024,0.433,1296.31
