n_nodes,avg_compute_time,med_compute_time,avg_result_time,med_result_time,avg_packet_loss,avg_packet_size
1,0.173038,0.158938,1.21531,1.15678,0,1108.49
2,0.393321,0.393053,1.2286,1.19374,0,1181.67
3,0.338954,0.329253,1.28467,1.22582,0,1255.38
4,0.37335,0.339691,1.49014,1.35101,0.412,1298.54
