n_nodes,avg_compute_time,med_compute_time,avg_result_time,med_result_time,avg_packet_loss,avg_packet_size
1,0.163482,0.150764,1.26282,1.18209,0,1109.83
2,0.235889,0.209647,1.30467,1.23053,0,1124.97
3,0.25975,0.235411,1.49356,1.42561,0,1141.48
4,0.272603,0.261478,1.5864,1.52629,0.393,1150.51
