n_nodes,avg_compute_time,med_compute_time,avg_result_time,med_result_time,avg_packet_loss,avg_packet_size
1,0.273821,0.250849,1.70536,1.46481,0,1108.91
2,0.300206,0.222216,1.60217,1.35241,0,1108.85
3,0.228929,0.213391,1.4892,1.36791,0,1109.13
4,0.220283,0.205604,1.45102,1.34519,0.791,1109.14
