n_nodes,avg_compute_time,med_compute_time,avg_result_time,med_result_time,avg_packet_loss,avg_packet_size
1,0.209141,0.212276,1.42009,1.33672,0,1108.62
2,0.209284,0.211436,1.39883,1.32792,0,1108.38
3,0.1948,0.190167,1.36556,1.30758,0,1109.15
4,0.198074,0.191292,1.37798,1.30277,0.762,1109.03
