n_nodes,avg_compute_time,med_compute_time,avg_result_time,med_result_time
1,0.379083,0.360783,3.89429,3.77938
2,0.414906,0.405149,3.9106,3.81729
3,0.457849,0.442897,3.96241,3.85471
4,0.486803,0.469797,3.98866,3.89201
