n_nodes,avg_compute_time,med_compute_time,avg_result_time,med_result_time,avg_packet_loss,avg_packet_size
1,0.216388,0.2154,1.37628,1.29871,0,1108.71
2,0.227174,0.216683,1.37954,1.3056,0,1109.2
3,0.211078,0.201756,1.36742,1.3051,0,1108.66
4,0.21273,0.201179,1.39402,1.32299,0.773,1109.47
