n_nodes,avg_compute_time,med_compute_time,avg_result_time,med_result_time
1,0.410779,0.379188,3.3902,3.21142
2,0.642377,0.574724,4.07966,3.66728
3,0.550648,0.497108,3.3176,3.09028
4,0.655503,0.592393,3.69056,3.41823
