n_nodes,avg_compute_time,med_compute_time,avg_result_time,med_result_time,avg_packet_loss,avg_packet_size
1,0.186822,0.149098,1.36208,1.12213,0,1109.43
2,0.238898,0.214072,1.14203,1.08759,0,1125.47
3,0.283691,0.260203,1.414,1.2942,0,1140.61
4,0.294439,0.275794,1.58255,1.47902,0.39,1150.72
