n_nodes,avg_compute_time,med_compute_time,avg_result_time,med_result_time,avg_packet_loss,avg_packet_size
1,0.159218,0.146973,1.21543,1.14563,0,1110.01
2,0.245858,0.218952,1.16589,1.10876,0,1124.87
3,0.283945,0.274255,1.4099,1.33626,0,1141.35
4,0.361625,0.300264,1.88762,1.58828,0.387,1151.58
