n_nodes,avg_compute_time,med_compute_time,avg_result_time,med_result_time,avg_packet_loss,avg_packet_size
1,0.213659,0.207836,1.50352,1.31387,0,1109.43
2,0.246648,0.210757,1.63462,1.32382,0,1108.69
3,0.217467,0.204523,1.54057,1.39648,0,1108.97
4,0.195166,0.187343,1.4034,1.31051,0.768,1108.61
